measurement_uid,dns_experiment_failure,http_experiment_failure,accessible,blocking,resolver_asn,status_code
20241209215030.947833_UY_webconnectivity_5fa5c85a8aff4824,None,connection_refused,False,dns,AS6057,200
20241209215030.305793_UY_webconnectivity_d16537da1e22fa04,None,connection_refused,False,dns,AS6057,200
20241209215029.473989_UY_webconnectivity_294b009547f9d556,None,connection_refused,False,dns,AS6057,200
20241209215028.830983_UY_webconnectivity_ba24ccd8b89e2b6e,None,connection_refused,False,dns,AS6057,200
20241209215028.090594_UY_webconnectivity_b676f20ee95df271,None,connection_refused,False,dns,AS6057,200
20241209215026.813117_UY_webconnectivity_7de8f4ed5b80a694,None,connection_refused,False,dns,AS6057,200
20241209215025.504962_UY_webconnectivity_e18498aecf36d8a1,None,connection_refused,False,dns,AS6057,200
20241209215023.904410_UY_webconnectivity_9d9dab089d7c0b17,None,connection_refused,False,dns,AS6057,200
20241209215022.960875_UY_webconnectivity_191ca570f1f8b2ff,None,connection_refused,False,dns,AS6057,200
20241209215021.349713_UY_webconnectivity_3b3fcaca8937c55d,None,connection_refused,False,dns,AS6057,200
20241209215019.754905_UY_webconnectivity_09494788c4ee5ba5,None,connection_refused,False,dns,AS6057,200
20241209215017.546341_UY_webconnectivity_1f23d97b15ad3dfe,None,connection_refused,False,dns,AS6057,200
20241209215009.063370_UY_webconnectivity_c6af9d4b1ab7d3f5,None,connection_refused,False,dns,AS6057,200
20241209215007.560938_UY_webconnectivity_8dd4d9f703b332a4,None,connection_refused,False,dns,AS6057,200
20241209215006.907393_UY_webconnectivity_0363373e90838545,None,connection_refused,False,dns,AS6057,403
20241209215006.226443_UY_webconnectivity_0a11da9ebf4d2bc1,None,connection_refused,False,dns,AS6057,526
20241209215005.396363_UY_webconnectivity_6410645385e6447e,None,connection_refused,False,dns,AS6057,200
20241209215003.012658_UY_webconnectivity_e5e4821b3a94011d,None,connection_refused,False,dns,AS6057,200
20241209215001.055681_UY_webconnectivity_62ab80fbe4b01770,None,connection_refused,False,dns,AS6057,200
20241209215000.210690_UY_webconnectivity_7b967caebf160f8b,None,connection_refused,False,dns,AS6057,503
20241209214959.461100_UY_webconnectivity_a8ffcee513157a8f,None,connection_refused,False,dns,AS6057,-1
20241209214943.761033_UY_webconnectivity_d1a2fdf36add59c4,None,connection_refused,False,dns,AS6057,200
20241209214939.467546_UY_webconnectivity_a479c86075ec9d3c,None,connection_refused,False,dns,AS6057,200
20241209214937.791885_UY_webconnectivity_4da105c1785960d0,None,connection_refused,False,dns,AS6057,403
20241209214936.720108_UY_webconnectivity_78adf1ac949d3941,None,connection_refused,False,dns,AS6057,403
20241209214936.101152_UY_webconnectivity_55e503b490b78184,None,connection_refused,False,dns,AS6057,200
20241209214934.990523_UY_webconnectivity_40b7046179a15463,None,connection_refused,False,dns,AS6057,200
20241209214934.182758_UY_webconnectivity_e3d50f014f744fb9,None,connection_refused,False,dns,AS6057,-1
20241209214918.489961_UY_webconnectivity_750f2ecf76f3b89e,None,connection_refused,False,dns,AS6057,503
20241209214917.546330_UY_webconnectivity_045b0d4d1efc9836,None,connection_refused,False,dns,AS6057,-1
20241209214916.599759_UY_webconnectivity_c9c360ee44c0d7c5,None,connection_refused,False,dns,AS6057,-1
20241209214915.969777_UY_webconnectivity_4496654c431e4a5e,None,connection_refused,False,dns,AS6057,-1
20241209214915.312266_UY_webconnectivity_e4a380b073693043,None,connection_refused,False,dns,AS6057,-1
20241209214914.684053_UY_webconnectivity_1b099f92d8cab4e2,None,connection_refused,False,dns,AS6057,200
20241209214913.748277_UY_webconnectivity_93a2743f81a68c27,None,connection_refused,False,dns,AS6057,200
20241209214912.898510_UY_webconnectivity_66a5c43c8aa62011,None,connection_refused,False,dns,AS6057,200
20241209214912.267401_UY_webconnectivity_3e4b85271abe0e74,None,connection_refused,False,dns,AS6057,200
20241209214911.462931_UY_webconnectivity_26d592d08aad9db8,None,connection_refused,False,dns,AS6057,200
20241209214910.405365_UY_webconnectivity_3ec7947b3bd58327,None,connection_refused,False,dns,AS6057,200
20241209214908.960155_UY_webconnectivity_7dc796352b252da4,None,connection_refused,False,dns,AS6057,403
20241209214908.266523_UY_webconnectivity_7d4f7f444d99df58,None,connection_refused,False,dns,AS6057,200
20241209214907.117090_UY_webconnectivity_00e3149ed1bca4bd,None,connection_refused,False,dns,AS6057,403
20241209214906.467442_UY_webconnectivity_c4f17e301d1cde8c,None,connection_refused,False,dns,AS6057,-1
20241209214904.754093_UY_webconnectivity_0d4a976bc2945e77,None,connection_refused,False,dns,AS6057,200
20241209214903.780384_UY_webconnectivity_7b134605f741c84e,None,connection_refused,False,dns,AS6057,200
20241209214902.965060_UY_webconnectivity_51aa2bfb5ff9807d,None,connection_refused,False,dns,AS6057,200
20241209214902.265520_UY_webconnectivity_40fd0da3d3f54a8d,None,connection_refused,False,dns,AS6057,-1
20241209214859.004779_UY_webconnectivity_7bee1ade0e9dafcd,None,connection_refused,False,dns,AS6057,200
20241209214858.402827_UY_webconnectivity_28438d4d771e5ea4,None,connection_refused,False,dns,AS6057,403
20241209214857.770975_UY_webconnectivity_9175652f2ad8bbdb,None,connection_refused,False,dns,AS6057,200
20241209214856.514189_UY_webconnectivity_a5a17f4217ae9bee,None,connection_refused,False,dns,AS6057,403
20241209214855.886791_UY_webconnectivity_7a91e85cb32f8243,None,connection_refused,False,dns,AS6057,-1
20241209214855.234426_UY_webconnectivity_1e7c4f006b2f11db,None,connection_refused,False,dns,AS6057,403
20241209214854.623112_UY_webconnectivity_f974353f1666a8c9,None,connection_refused,False,dns,AS6057,200
20241209214852.949671_UY_webconnectivity_5a100490d07eded1,None,connection_refused,False,dns,AS6057,403
20241209214852.137019_UY_webconnectivity_8cd22dfa1a24cfd8,None,connection_refused,False,dns,AS6057,-1
20241209214850.451277_UY_webconnectivity_f8f17e70bf0d89c8,None,connection_refused,False,dns,AS6057,200
20241209214851.317848_UY_webconnectivity_18be819f7fb867cc,None,connection_refused,False,dns,AS6057,200
20241209214848.483099_UY_webconnectivity_de5c6ac3d94bd2c9,None,connection_refused,False,dns,AS6057,403
