Denunciante;URL o dominio denunciado;Plazo de bloqueo (días);Enlace a Resolución de URSEC
Trinidad Video Cable S.A;https://futbollibre.app/;30;Resolución N° 187/024 de 13 de junio de 2024
Trinidad Video Cable S.A;https://www.pirlotv.uno/;30;Resolución N° 187/024 de 13 de junio de 2024
Trinidad Video Cable S.A;https://rojadirectatv.uno/;30;Resolución N° 187/024 de 13 de junio de 2024
Trinidad Video Cable S.A;https://rojadirectaenvivo.nl/;30;Resolución N° 187/024 de 13 de junio de 2024
Trinidad Video Cable S.A;https://futbollibre.lol/;30;Resolución N° 187/024 de 13 de junio de 2024
Trinidad Video Cable S.A;https://rojadirectaenvivo.me/;30;Resolución N° 187/024 de 13 de junio de 2024
Trinidad Video Cable S.A;https://rojadirectatv.nl/;30;Resolución N° 187/024 de 13 de junio de 2024
Trinidad Video Cable S.A;https://www.rojadirecta2.org/;30;Resolución N° 187/024 de 13 de junio de 2024
Trinidad Video Cable S.A;https://www.tarjetarojatvenvivo.net/;30;Resolución N° 187/024 de 13 de junio de 2024
Trinidad Video Cable S.A;https://www.futbollibretv.fr/;30;Resolución N° 208/024 de 03 de julio de 2024
Trinidad Video Cable S.A;https://www.rojadirectaenvivo.pl/;30;Resolución N° 208/024 de 03 de julio de 2024
Trinidad Video Cable S.A;https://telegratis.live/;30;Resolución N° 208/024 de 03 de julio de 2024
Trinidad Video Cable S.A;https://www.pirlotv.fr/;30;Resolución N° 208/024 de 03 de julio de 2024
Trinidad Video Cable S.A;https://www.tarjetarojaenvivo.nl/;30;Resolución N° 208/024 de 03 de julio de 2024
Trinidad Video Cable S.A;https://tarjetarojatv.fr/;30;Resolución N° 208/024 de 03 de julio de 2024
Trinidad Video Cable S.A;https://www.rojadirectatvhd.org/;30;Resolución N° 208/024 de 03 de julio de 2024
Trinidad Video Cable S.A;https://rojadirectaenvivo.cc/;30;Resolución N° 208/024 de 03 de julio de 2024
Trinidad Video Cable S.A;https://www.rojadirectenvivo.me/;30;Resolución N° 208/024 de 03 de julio de 2024
Trinidad Video Cable S.A;https://rojadirectaenvivo.la/;30;Resolución N° 208/024 de 03 de julio de 2024
Trinidad Video Cable S.A;https://librefutbol.su/;30;Resolución N° 272/024 de 25 de julio de 2024
Trinidad Video Cable S.A;https://television-libre.online/;30;Resolución N° 272/024 de 25 de julio de 2024
Trinidad Video Cable S.A;https://futbollibre.futbol/;30;Resolución N° 272/024 de 25 de julio de 2024
Trinidad Video Cable S.A;https://www.rojadirectatv.com.ph/;30;Resolución N° 272/024 de 25 de julio de 2024
Trinidad Video Cable S.A;https://rojadirectaenhd.net/;30;Resolución N° 272/024 de 25 de julio de 2024
Trinidad Video Cable S.A;https://futbollibre.nu/ ;30;Resolución N° 272/024 de 25 de julio de 2024
Trinidad Video Cable S.A;https://futbol-libre.org/;30;Resolución N° 272/024 de 25 de julio de 2024
Trinidad Video Cable S.A;https://telegratishd.com/;30;Resolución N° 272/024 de 25 de julio de 2024
Trinidad Video Cable S.A;https://deportestvhd2.com/;30;Resolución N° 272/024 de 25 de julio de 2024
Trinidad Video Cable S.A;https://portalbarranca.com/;30;Resolución N° 272/024 de 25 de julio de 2024
Directv del Uruguay Ltda; https://onw8.com;30;Resolución N° 273/024 de 25 de julio de 2024
Directv del Uruguay Ltda;http://ontvhdbr.co/;30;Resolución N° 273/024 de 25 de julio de 2024
Directv del Uruguay Ltda;https://pelotalibre.pe/;30;Resolución N° 274/024 de 25 de julio de 2024
